2024-09-22 12:12:00,400 [test] >> Dataset : 0922_basic_food_adjusted_sum , Augment : original
2024-09-22 12:12:00,400 [test] >> Namespace(batch_size=5000, csv_filename='0922_basic_food_adjusted_sum', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, no_cuda=False, oversampling=False, seed=42, undersampling=False, weight_decay=0.01)
2024-09-22 12:12:00,402 [test] >> Oversamplilng : False, Undersampling : False
2024-09-22 12:12:00,402 [test] >> Model archi : 36 - 64 - 64 - 1
2024-09-22 12:12:01,847 [test] >> Train results ==> epoch : 0001, loss_train: 2.7283, acc_train: 0.6634, loss_val: 0.6354, acc_val: 0.9930, time: 1.4447s
2024-09-22 12:12:02,516 [test] >> Train results ==> epoch : 0002, loss_train: 2.1056, acc_train: 0.8720, loss_val: 0.4000, acc_val: 0.9930, time: 0.6691s
2024-09-22 12:12:03,254 [test] >> Train results ==> epoch : 0003, loss_train: 1.6076, acc_train: 0.9752, loss_val: 0.1488, acc_val: 0.9930, time: 0.7369s
2024-09-22 12:12:03,917 [test] >> Train results ==> epoch : 0004, loss_train: 1.2910, acc_train: 0.9915, loss_val: 0.0606, acc_val: 0.9930, time: 0.6622s
2024-09-22 12:12:04,645 [test] >> Train results ==> epoch : 0005, loss_train: 1.1086, acc_train: 0.9894, loss_val: 0.0508, acc_val: 0.9930, time: 0.7277s
2024-09-22 12:12:05,345 [test] >> Train results ==> epoch : 0006, loss_train: 0.9373, acc_train: 0.9894, loss_val: 0.0564, acc_val: 0.9930, time: 0.6995s
2024-09-22 12:12:06,206 [test] >> Train results ==> epoch : 0007, loss_train: 0.7701, acc_train: 0.9908, loss_val: 0.0654, acc_val: 0.9930, time: 0.8608s
2024-09-22 12:12:06,913 [test] >> Train results ==> epoch : 0008, loss_train: 0.6156, acc_train: 0.9936, loss_val: 0.0768, acc_val: 0.9930, time: 0.7073s
2024-09-22 12:12:07,696 [test] >> Train results ==> epoch : 0009, loss_train: 0.4832, acc_train: 0.9929, loss_val: 0.0652, acc_val: 0.9930, time: 0.7826s
2024-09-22 12:12:08,538 [test] >> Train results ==> epoch : 0010, loss_train: 0.3601, acc_train: 0.9929, loss_val: 0.0693, acc_val: 0.9930, time: 0.8417s
2024-09-22 12:12:09,231 [test] >> Train results ==> epoch : 0011, loss_train: 0.3228, acc_train: 0.9936, loss_val: 0.0660, acc_val: 0.9930, time: 0.6922s
2024-09-22 12:12:09,993 [test] >> Train results ==> epoch : 0012, loss_train: 0.3059, acc_train: 0.9894, loss_val: 0.0647, acc_val: 0.9930, time: 0.7618s
2024-09-22 12:12:10,772 [test] >> Train results ==> epoch : 0013, loss_train: 0.3047, acc_train: 0.9887, loss_val: 0.0643, acc_val: 0.9930, time: 0.7782s
2024-09-22 12:12:11,498 [test] >> Train results ==> epoch : 0014, loss_train: 0.2896, acc_train: 0.9908, loss_val: 0.0639, acc_val: 0.9930, time: 0.7255s
2024-09-22 12:12:12,308 [test] >> Train results ==> epoch : 0015, loss_train: 0.2941, acc_train: 0.9880, loss_val: 0.0631, acc_val: 0.9930, time: 0.8101s
2024-09-22 12:12:13,033 [test] >> Train results ==> epoch : 0016, loss_train: 0.2819, acc_train: 0.9908, loss_val: 0.0626, acc_val: 0.9930, time: 0.7245s
2024-09-22 12:12:13,838 [test] >> Train results ==> epoch : 0017, loss_train: 0.2714, acc_train: 0.9929, loss_val: 0.0613, acc_val: 0.9930, time: 0.8047s
2024-09-22 12:12:14,506 [test] >> Train results ==> epoch : 0018, loss_train: 0.2599, acc_train: 0.9929, loss_val: 0.0604, acc_val: 0.9930, time: 0.6681s
2024-09-22 12:12:15,187 [test] >> Train results ==> epoch : 0019, loss_train: 0.2692, acc_train: 0.9915, loss_val: 0.0598, acc_val: 0.9930, time: 0.6808s
2024-09-22 12:12:15,913 [test] >> Train results ==> epoch : 0020, loss_train: 0.2651, acc_train: 0.9915, loss_val: 0.0600, acc_val: 0.9930, time: 0.7250s
2024-09-22 12:12:16,568 [test] >> Train results ==> epoch : 0021, loss_train: 0.2594, acc_train: 0.9929, loss_val: 0.0604, acc_val: 0.9930, time: 0.6552s
2024-09-22 12:12:17,299 [test] >> Train results ==> epoch : 0022, loss_train: 0.2642, acc_train: 0.9915, loss_val: 0.0604, acc_val: 0.9930, time: 0.7303s
2024-09-22 12:12:17,945 [test] >> Train results ==> epoch : 0023, loss_train: 0.2493, acc_train: 0.9950, loss_val: 0.0602, acc_val: 0.9930, time: 0.6458s
2024-09-22 12:12:18,639 [test] >> Train results ==> epoch : 0024, loss_train: 0.2671, acc_train: 0.9887, loss_val: 0.0599, acc_val: 0.9930, time: 0.6942s
2024-09-22 12:12:19,377 [test] >> Train results ==> epoch : 0025, loss_train: 0.2446, acc_train: 0.9950, loss_val: 0.0602, acc_val: 0.9930, time: 0.7372s
2024-09-22 12:12:20,057 [test] >> Train results ==> epoch : 0026, loss_train: 0.2565, acc_train: 0.9922, loss_val: 0.0601, acc_val: 0.9930, time: 0.6801s
2024-09-22 12:12:20,773 [test] >> Train results ==> epoch : 0027, loss_train: 0.2538, acc_train: 0.9936, loss_val: 0.0607, acc_val: 0.9930, time: 0.7152s
2024-09-22 12:12:21,446 [test] >> Train results ==> epoch : 0028, loss_train: 0.2422, acc_train: 0.9972, loss_val: 0.0612, acc_val: 0.9930, time: 0.6731s
2024-09-22 12:12:22,110 [test] >> Train results ==> epoch : 0029, loss_train: 0.2542, acc_train: 0.9929, loss_val: 0.0607, acc_val: 0.9930, time: 0.6640s
2024-09-22 12:12:22,852 [test] >> Train results ==> epoch : 0030, loss_train: 0.2658, acc_train: 0.9887, loss_val: 0.0610, acc_val: 0.9930, time: 0.7416s
2024-09-22 12:12:23,505 [test] >> Train results ==> epoch : 0031, loss_train: 0.2511, acc_train: 0.9936, loss_val: 0.0621, acc_val: 0.9930, time: 0.6528s
2024-09-22 12:12:24,246 [test] >> Train results ==> epoch : 0032, loss_train: 0.2467, acc_train: 0.9943, loss_val: 0.0616, acc_val: 0.9930, time: 0.7408s
2024-09-22 12:12:24,916 [test] >> Train results ==> epoch : 0033, loss_train: 0.2416, acc_train: 0.9958, loss_val: 0.0613, acc_val: 0.9930, time: 0.6692s
2024-09-22 12:12:25,585 [test] >> Train results ==> epoch : 0034, loss_train: 0.2582, acc_train: 0.9915, loss_val: 0.0616, acc_val: 0.9930, time: 0.6694s
2024-09-22 12:12:26,343 [test] >> Train results ==> epoch : 0035, loss_train: 0.2643, acc_train: 0.9894, loss_val: 0.0622, acc_val: 0.9930, time: 0.7575s
2024-09-22 12:12:27,017 [test] >> Train results ==> epoch : 0036, loss_train: 0.2540, acc_train: 0.9922, loss_val: 0.0631, acc_val: 0.9930, time: 0.6741s
2024-09-22 12:12:27,747 [test] >> Train results ==> epoch : 0037, loss_train: 0.2529, acc_train: 0.9922, loss_val: 0.0626, acc_val: 0.9930, time: 0.7289s
2024-09-22 12:12:28,402 [test] >> Train results ==> epoch : 0038, loss_train: 0.2496, acc_train: 0.9922, loss_val: 0.0629, acc_val: 0.9930, time: 0.6548s
2024-09-22 12:12:29,094 [test] >> Train results ==> epoch : 0039, loss_train: 0.2606, acc_train: 0.9915, loss_val: 0.0628, acc_val: 0.9930, time: 0.6922s
2024-09-22 12:12:29,820 [test] >> Train results ==> epoch : 0040, loss_train: 0.2507, acc_train: 0.9936, loss_val: 0.0635, acc_val: 0.9930, time: 0.7255s
2024-09-22 12:12:30,476 [test] >> Train results ==> epoch : 0041, loss_train: 0.2485, acc_train: 0.9936, loss_val: 0.0633, acc_val: 0.9930, time: 0.6558s
2024-09-22 12:12:31,232 [test] >> Train results ==> epoch : 0042, loss_train: 0.2464, acc_train: 0.9943, loss_val: 0.0631, acc_val: 0.9930, time: 0.7556s
2024-09-22 12:12:31,890 [test] >> Train results ==> epoch : 0043, loss_train: 0.2572, acc_train: 0.9922, loss_val: 0.0630, acc_val: 0.9930, time: 0.6577s
2024-09-22 12:12:32,608 [test] >> Train results ==> epoch : 0044, loss_train: 0.2429, acc_train: 0.9950, loss_val: 0.0640, acc_val: 0.9930, time: 0.7176s
2024-09-22 12:12:33,277 [test] >> Train results ==> epoch : 0045, loss_train: 0.2424, acc_train: 0.9950, loss_val: 0.0643, acc_val: 0.9930, time: 0.6694s
2024-09-22 12:12:33,939 [test] >> Train results ==> epoch : 0046, loss_train: 0.2610, acc_train: 0.9901, loss_val: 0.0639, acc_val: 0.9930, time: 0.6609s
2024-09-22 12:12:34,666 [test] >> Train results ==> epoch : 0047, loss_train: 0.2638, acc_train: 0.9887, loss_val: 0.0645, acc_val: 0.9930, time: 0.7269s
2024-09-22 12:12:35,323 [test] >> Train results ==> epoch : 0048, loss_train: 0.2573, acc_train: 0.9901, loss_val: 0.0652, acc_val: 0.9930, time: 0.6574s
2024-09-22 12:12:36,057 [test] >> Train results ==> epoch : 0049, loss_train: 0.2475, acc_train: 0.9936, loss_val: 0.0645, acc_val: 0.9930, time: 0.7338s
2024-09-22 12:12:36,702 [test] >> Train results ==> epoch : 0050, loss_train: 0.2420, acc_train: 0.9929, loss_val: 0.0638, acc_val: 0.9930, time: 0.6445s
2024-09-22 12:12:37,368 [test] >> Train results ==> epoch : 0051, loss_train: 0.2347, acc_train: 0.9950, loss_val: 0.0633, acc_val: 0.9930, time: 0.6651s
2024-09-22 12:12:38,115 [test] >> Train results ==> epoch : 0052, loss_train: 0.2477, acc_train: 0.9922, loss_val: 0.0631, acc_val: 0.9930, time: 0.7476s
2024-09-22 12:12:38,793 [test] >> Train results ==> epoch : 0053, loss_train: 0.2443, acc_train: 0.9915, loss_val: 0.0638, acc_val: 0.9930, time: 0.6776s
2024-09-22 12:12:39,531 [test] >> Train results ==> epoch : 0054, loss_train: 0.2471, acc_train: 0.9908, loss_val: 0.0640, acc_val: 0.9930, time: 0.7370s
2024-09-22 12:12:40,202 [test] >> Train results ==> epoch : 0055, loss_train: 0.2468, acc_train: 0.9901, loss_val: 0.0646, acc_val: 0.9930, time: 0.6711s
