2024-09-23 01:45:58,651 [test] >> Dataset : 0922_basic_food_sum , Augment : original
2024-09-23 01:45:58,652 [test] >> Namespace(batch_size=5000, csv_filename='0922_basic_food_sum', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, no_cuda=False, oversampling=False, seed=42, undersampling=False, weight_decay=0.01)
2024-09-23 01:45:58,653 [test] >> Oversamplilng : False, Undersampling : False
2024-09-23 01:45:58,653 [test] >> Model archi : 36 - 64 - 64 - 1
2024-09-23 01:45:59,939 [test] >> Train results ==> epoch : 0001, loss_train: 2.7318, acc_train: 0.6499, loss_val: 0.6387, acc_val: 0.9930, time: 1.2857s
2024-09-23 01:46:00,576 [test] >> Train results ==> epoch : 0002, loss_train: 2.0979, acc_train: 0.8812, loss_val: 0.4091, acc_val: 0.9930, time: 0.6364s
2024-09-23 01:46:01,264 [test] >> Train results ==> epoch : 0003, loss_train: 1.5907, acc_train: 0.9752, loss_val: 0.1546, acc_val: 0.9930, time: 0.6884s
2024-09-23 01:46:01,906 [test] >> Train results ==> epoch : 0004, loss_train: 1.2968, acc_train: 0.9908, loss_val: 0.0627, acc_val: 0.9930, time: 0.6415s
2024-09-23 01:46:02,579 [test] >> Train results ==> epoch : 0005, loss_train: 1.1051, acc_train: 0.9901, loss_val: 0.0509, acc_val: 0.9930, time: 0.6727s
2024-09-23 01:46:03,207 [test] >> Train results ==> epoch : 0006, loss_train: 0.9420, acc_train: 0.9894, loss_val: 0.0581, acc_val: 0.9930, time: 0.6276s
2024-09-23 01:46:03,878 [test] >> Train results ==> epoch : 0007, loss_train: 0.7757, acc_train: 0.9908, loss_val: 0.0693, acc_val: 0.9930, time: 0.6709s
2024-09-23 01:46:04,595 [test] >> Train results ==> epoch : 0008, loss_train: 0.6177, acc_train: 0.9936, loss_val: 0.0743, acc_val: 0.9930, time: 0.7167s
2024-09-23 01:46:05,374 [test] >> Train results ==> epoch : 0009, loss_train: 0.4824, acc_train: 0.9929, loss_val: 0.0777, acc_val: 0.9930, time: 0.7786s
2024-09-23 01:46:06,110 [test] >> Train results ==> epoch : 0010, loss_train: 0.3591, acc_train: 0.9929, loss_val: 0.0666, acc_val: 0.9930, time: 0.7361s
2024-09-23 01:46:06,784 [test] >> Train results ==> epoch : 0011, loss_train: 0.3215, acc_train: 0.9936, loss_val: 0.0661, acc_val: 0.9930, time: 0.6737s
2024-09-23 01:46:07,480 [test] >> Train results ==> epoch : 0012, loss_train: 0.3066, acc_train: 0.9894, loss_val: 0.0643, acc_val: 0.9930, time: 0.6956s
2024-09-23 01:46:08,102 [test] >> Train results ==> epoch : 0013, loss_train: 0.3037, acc_train: 0.9887, loss_val: 0.0641, acc_val: 0.9930, time: 0.6224s
