2024-09-23 02:31:19,741 [test] >> Dataset : 0922_basic_only , Augment : original
2024-09-23 02:31:19,742 [test] >> Namespace(batch_size=5000, csv_filename='0922_basic_only', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, no_cuda=False, oversampling=False, seed=42, undersampling=False, weight_decay=0.01)
2024-09-23 02:31:19,744 [test] >> Oversamplilng : False, Undersampling : False
2024-09-23 02:31:19,744 [test] >> Model archi : 15 - 64 - 64 - 1
2024-09-23 02:31:21,110 [test] >> Train results ==> epoch : 0001, loss_train: 2.7675, acc_train: 0.8119, loss_val: 0.6055, acc_val: 0.9930, time: 1.3656s
2024-09-23 02:31:21,735 [test] >> Train results ==> epoch : 0002, loss_train: 1.9722, acc_train: 0.9017, loss_val: 0.4425, acc_val: 0.9930, time: 0.6251s
2024-09-23 02:31:22,420 [test] >> Train results ==> epoch : 0003, loss_train: 1.5615, acc_train: 0.9689, loss_val: 0.1906, acc_val: 0.9930, time: 0.6851s
2024-09-23 02:31:23,046 [test] >> Train results ==> epoch : 0004, loss_train: 1.2286, acc_train: 0.9936, loss_val: 0.0709, acc_val: 0.9930, time: 0.6253s
2024-09-23 02:31:23,702 [test] >> Train results ==> epoch : 0005, loss_train: 1.0578, acc_train: 0.9915, loss_val: 0.0519, acc_val: 0.9930, time: 0.6556s
2024-09-23 02:31:24,336 [test] >> Train results ==> epoch : 0006, loss_train: 0.9230, acc_train: 0.9873, loss_val: 0.0563, acc_val: 0.9930, time: 0.6338s
2024-09-23 02:31:25,012 [test] >> Train results ==> epoch : 0007, loss_train: 0.7457, acc_train: 0.9873, loss_val: 0.0640, acc_val: 0.9930, time: 0.6759s
2024-09-23 02:31:25,630 [test] >> Train results ==> epoch : 0008, loss_train: 0.5978, acc_train: 0.9915, loss_val: 0.0715, acc_val: 0.9930, time: 0.6176s
2024-09-23 02:31:26,244 [test] >> Train results ==> epoch : 0009, loss_train: 0.4723, acc_train: 0.9901, loss_val: 0.0728, acc_val: 0.9930, time: 0.6144s
2024-09-23 02:31:26,911 [test] >> Train results ==> epoch : 0010, loss_train: 0.3407, acc_train: 0.9950, loss_val: 0.0699, acc_val: 0.9930, time: 0.6662s
2024-09-23 02:31:27,545 [test] >> Train results ==> epoch : 0011, loss_train: 0.3295, acc_train: 0.9901, loss_val: 0.0697, acc_val: 0.9930, time: 0.6341s
2024-09-23 02:31:28,210 [test] >> Train results ==> epoch : 0012, loss_train: 0.2994, acc_train: 0.9908, loss_val: 0.0689, acc_val: 0.9930, time: 0.6646s
2024-09-23 02:31:28,841 [test] >> Train results ==> epoch : 0013, loss_train: 0.2742, acc_train: 0.9972, loss_val: 0.0683, acc_val: 0.9930, time: 0.6313s
2024-09-23 02:31:29,450 [test] >> Train results ==> epoch : 0014, loss_train: 0.2852, acc_train: 0.9894, loss_val: 0.0662, acc_val: 0.9930, time: 0.6084s
2024-09-23 02:31:30,115 [test] >> Train results ==> epoch : 0015, loss_train: 0.2710, acc_train: 0.9936, loss_val: 0.0653, acc_val: 0.9930, time: 0.6652s
