2024-09-23 02:36:23,527 [test] >> Dataset : 0922_food_adjusted_sum_only , Augment : original
2024-09-23 02:36:23,527 [test] >> Namespace(batch_size=5000, csv_filename='0922_food_adjusted_sum_only', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, no_cuda=False, oversampling=False, seed=42, undersampling=False, weight_decay=0.01)
2024-09-23 02:36:23,529 [test] >> Oversamplilng : False, Undersampling : False
2024-09-23 02:36:23,529 [test] >> Model archi : 21 - 64 - 64 - 1
2024-09-23 02:36:24,975 [test] >> Train results ==> epoch : 0001, loss_train: 2.7710, acc_train: 0.8091, loss_val: 0.6121, acc_val: 0.9930, time: 1.4459s
2024-09-23 02:36:25,671 [test] >> Train results ==> epoch : 0002, loss_train: 1.9693, acc_train: 0.9342, loss_val: 0.4097, acc_val: 0.9930, time: 0.6956s
2024-09-23 02:36:26,418 [test] >> Train results ==> epoch : 0003, loss_train: 1.5342, acc_train: 0.9851, loss_val: 0.1695, acc_val: 0.9930, time: 0.7467s
2024-09-23 02:36:27,112 [test] >> Train results ==> epoch : 0004, loss_train: 1.2506, acc_train: 0.9929, loss_val: 0.0683, acc_val: 0.9930, time: 0.6938s
2024-09-23 02:36:27,824 [test] >> Train results ==> epoch : 0005, loss_train: 1.0461, acc_train: 0.9901, loss_val: 0.0550, acc_val: 0.9930, time: 0.7115s
2024-09-23 02:36:28,508 [test] >> Train results ==> epoch : 0006, loss_train: 0.8641, acc_train: 0.9929, loss_val: 0.0614, acc_val: 0.9930, time: 0.6844s
2024-09-23 02:36:29,190 [test] >> Train results ==> epoch : 0007, loss_train: 0.7055, acc_train: 0.9950, loss_val: 0.0746, acc_val: 0.9930, time: 0.6816s
2024-09-23 02:36:29,915 [test] >> Train results ==> epoch : 0008, loss_train: 0.5804, acc_train: 0.9908, loss_val: 0.0684, acc_val: 0.9930, time: 0.7244s
2024-09-23 02:36:30,577 [test] >> Train results ==> epoch : 0009, loss_train: 0.4448, acc_train: 0.9943, loss_val: 0.0674, acc_val: 0.9930, time: 0.6623s
2024-09-23 02:36:31,281 [test] >> Train results ==> epoch : 0010, loss_train: 0.3358, acc_train: 0.9915, loss_val: 0.0665, acc_val: 0.9930, time: 0.7032s
2024-09-23 02:36:31,981 [test] >> Train results ==> epoch : 0011, loss_train: 0.2974, acc_train: 0.9943, loss_val: 0.0634, acc_val: 0.9930, time: 0.7001s
2024-09-23 02:36:32,705 [test] >> Train results ==> epoch : 0012, loss_train: 0.2811, acc_train: 0.9922, loss_val: 0.0633, acc_val: 0.9930, time: 0.7237s
2024-09-23 02:36:33,362 [test] >> Train results ==> epoch : 0013, loss_train: 0.2812, acc_train: 0.9887, loss_val: 0.0630, acc_val: 0.9930, time: 0.6569s
2024-09-23 02:36:34,084 [test] >> Train results ==> epoch : 0014, loss_train: 0.2555, acc_train: 0.9943, loss_val: 0.0620, acc_val: 0.9930, time: 0.7220s
2024-09-23 02:36:34,810 [test] >> Train results ==> epoch : 0015, loss_train: 0.2567, acc_train: 0.9929, loss_val: 0.0613, acc_val: 0.9930, time: 0.7253s
2024-09-23 02:36:35,507 [test] >> Train results ==> epoch : 0016, loss_train: 0.2473, acc_train: 0.9958, loss_val: 0.0607, acc_val: 0.9930, time: 0.6962s
2024-09-23 02:36:36,274 [test] >> Train results ==> epoch : 0017, loss_train: 0.2605, acc_train: 0.9901, loss_val: 0.0605, acc_val: 0.9930, time: 0.7676s
2024-09-23 02:36:36,907 [test] >> Train results ==> epoch : 0018, loss_train: 0.2478, acc_train: 0.9936, loss_val: 0.0602, acc_val: 0.9930, time: 0.6327s
2024-09-23 02:36:37,578 [test] >> Train results ==> epoch : 0019, loss_train: 0.2643, acc_train: 0.9887, loss_val: 0.0597, acc_val: 0.9930, time: 0.6702s
2024-09-23 02:36:38,313 [test] >> Train results ==> epoch : 0020, loss_train: 0.2432, acc_train: 0.9936, loss_val: 0.0597, acc_val: 0.9930, time: 0.7354s
2024-09-23 02:36:39,010 [test] >> Train results ==> epoch : 0021, loss_train: 0.2514, acc_train: 0.9922, loss_val: 0.0597, acc_val: 0.9930, time: 0.6966s
2024-09-23 02:36:39,764 [test] >> Train results ==> epoch : 0022, loss_train: 0.2463, acc_train: 0.9901, loss_val: 0.0594, acc_val: 0.9930, time: 0.7537s
2024-09-23 02:36:40,477 [test] >> Train results ==> epoch : 0023, loss_train: 0.2358, acc_train: 0.9936, loss_val: 0.0594, acc_val: 0.9930, time: 0.7122s
2024-09-23 02:36:41,099 [test] >> Train results ==> epoch : 0024, loss_train: 0.2335, acc_train: 0.9936, loss_val: 0.0593, acc_val: 0.9930, time: 0.6218s
2024-09-23 02:36:41,788 [test] >> Train results ==> epoch : 0025, loss_train: 0.2373, acc_train: 0.9943, loss_val: 0.0594, acc_val: 0.9930, time: 0.6891s
2024-09-23 02:36:42,437 [test] >> Train results ==> epoch : 0026, loss_train: 0.2432, acc_train: 0.9922, loss_val: 0.0594, acc_val: 0.9930, time: 0.6491s
2024-09-23 02:36:43,180 [test] >> Train results ==> epoch : 0027, loss_train: 0.2376, acc_train: 0.9936, loss_val: 0.0601, acc_val: 0.9930, time: 0.7426s
2024-09-23 02:36:43,871 [test] >> Train results ==> epoch : 0028, loss_train: 0.2318, acc_train: 0.9936, loss_val: 0.0601, acc_val: 0.9930, time: 0.6908s
2024-09-23 02:36:44,569 [test] >> Train results ==> epoch : 0029, loss_train: 0.2469, acc_train: 0.9901, loss_val: 0.0597, acc_val: 0.9930, time: 0.6980s
2024-09-23 02:36:45,289 [test] >> Train results ==> epoch : 0030, loss_train: 0.2383, acc_train: 0.9922, loss_val: 0.0599, acc_val: 0.9930, time: 0.7191s
2024-09-23 02:36:45,985 [test] >> Train results ==> epoch : 0031, loss_train: 0.2415, acc_train: 0.9915, loss_val: 0.0599, acc_val: 0.9930, time: 0.6958s
2024-09-23 02:36:46,714 [test] >> Train results ==> epoch : 0032, loss_train: 0.2378, acc_train: 0.9922, loss_val: 0.0603, acc_val: 0.9930, time: 0.7293s
2024-09-23 02:36:47,401 [test] >> Train results ==> epoch : 0033, loss_train: 0.2280, acc_train: 0.9943, loss_val: 0.0604, acc_val: 0.9930, time: 0.6867s
2024-09-23 02:36:48,056 [test] >> Train results ==> epoch : 0034, loss_train: 0.2342, acc_train: 0.9922, loss_val: 0.0605, acc_val: 0.9930, time: 0.6546s
2024-09-23 02:36:48,747 [test] >> Train results ==> epoch : 0035, loss_train: 0.2208, acc_train: 0.9979, loss_val: 0.0608, acc_val: 0.9930, time: 0.6904s
2024-09-23 02:36:49,429 [test] >> Train results ==> epoch : 0036, loss_train: 0.2239, acc_train: 0.9958, loss_val: 0.0606, acc_val: 0.9930, time: 0.6815s
2024-09-23 02:36:50,144 [test] >> Train results ==> epoch : 0037, loss_train: 0.2321, acc_train: 0.9936, loss_val: 0.0608, acc_val: 0.9930, time: 0.7154s
2024-09-23 02:36:50,794 [test] >> Train results ==> epoch : 0038, loss_train: 0.2426, acc_train: 0.9908, loss_val: 0.0614, acc_val: 0.9930, time: 0.6495s
2024-09-23 02:36:51,469 [test] >> Train results ==> epoch : 0039, loss_train: 0.2393, acc_train: 0.9901, loss_val: 0.0617, acc_val: 0.9930, time: 0.6746s
2024-09-23 02:36:52,196 [test] >> Train results ==> epoch : 0040, loss_train: 0.2275, acc_train: 0.9943, loss_val: 0.0618, acc_val: 0.9930, time: 0.7269s
2024-09-23 02:36:52,873 [test] >> Train results ==> epoch : 0041, loss_train: 0.2303, acc_train: 0.9943, loss_val: 0.0617, acc_val: 0.9930, time: 0.6764s
2024-09-23 02:36:53,621 [test] >> Train results ==> epoch : 0042, loss_train: 0.2377, acc_train: 0.9915, loss_val: 0.0620, acc_val: 0.9930, time: 0.7477s
2024-09-23 02:36:54,315 [test] >> Train results ==> epoch : 0043, loss_train: 0.2385, acc_train: 0.9908, loss_val: 0.0624, acc_val: 0.9930, time: 0.6938s
2024-09-23 02:36:55,008 [test] >> Train results ==> epoch : 0044, loss_train: 0.2262, acc_train: 0.9936, loss_val: 0.0626, acc_val: 0.9930, time: 0.6930s
2024-09-23 02:36:55,649 [test] >> Train results ==> epoch : 0045, loss_train: 0.2244, acc_train: 0.9950, loss_val: 0.0625, acc_val: 0.9930, time: 0.6411s
2024-09-23 02:36:56,310 [test] >> Train results ==> epoch : 0046, loss_train: 0.2232, acc_train: 0.9958, loss_val: 0.0627, acc_val: 0.9930, time: 0.6602s
2024-09-23 02:36:57,054 [test] >> Train results ==> epoch : 0047, loss_train: 0.2252, acc_train: 0.9943, loss_val: 0.0628, acc_val: 0.9930, time: 0.7439s
2024-09-23 02:36:57,748 [test] >> Train results ==> epoch : 0048, loss_train: 0.2305, acc_train: 0.9936, loss_val: 0.0632, acc_val: 0.9930, time: 0.6940s
2024-09-23 02:36:58,494 [test] >> Train results ==> epoch : 0049, loss_train: 0.2248, acc_train: 0.9943, loss_val: 0.0637, acc_val: 0.9930, time: 0.7459s
2024-09-23 02:36:59,144 [test] >> Train results ==> epoch : 0050, loss_train: 0.2341, acc_train: 0.9922, loss_val: 0.0637, acc_val: 0.9930, time: 0.6500s
2024-09-23 02:36:59,782 [test] >> Train results ==> epoch : 0051, loss_train: 0.2421, acc_train: 0.9887, loss_val: 0.0640, acc_val: 0.9930, time: 0.6379s
2024-09-23 02:37:00,498 [test] >> Train results ==> epoch : 0052, loss_train: 0.2264, acc_train: 0.9929, loss_val: 0.0648, acc_val: 0.9930, time: 0.7157s
2024-09-23 02:37:01,178 [test] >> Train results ==> epoch : 0053, loss_train: 0.2152, acc_train: 0.9972, loss_val: 0.0645, acc_val: 0.9930, time: 0.6794s
2024-09-23 02:37:01,899 [test] >> Train results ==> epoch : 0054, loss_train: 0.2328, acc_train: 0.9908, loss_val: 0.0639, acc_val: 0.9930, time: 0.7212s
2024-09-23 02:37:02,704 [test] >> Train results ==> epoch : 0055, loss_train: 0.2368, acc_train: 0.9908, loss_val: 0.0650, acc_val: 0.9930, time: 0.8042s
2024-09-23 02:37:03,415 [test] >> Train results ==> epoch : 0056, loss_train: 0.2304, acc_train: 0.9922, loss_val: 0.0660, acc_val: 0.9930, time: 0.7106s
2024-09-23 02:37:04,162 [test] >> Train results ==> epoch : 0057, loss_train: 0.2360, acc_train: 0.9901, loss_val: 0.0654, acc_val: 0.9930, time: 0.7465s
2024-09-23 02:37:04,836 [test] >> Train results ==> epoch : 0058, loss_train: 0.2306, acc_train: 0.9915, loss_val: 0.0654, acc_val: 0.9930, time: 0.6746s
2024-09-23 02:37:05,563 [test] >> Train results ==> epoch : 0059, loss_train: 0.2322, acc_train: 0.9901, loss_val: 0.0661, acc_val: 0.9930, time: 0.7260s
2024-09-23 02:37:06,283 [test] >> Train results ==> epoch : 0060, loss_train: 0.2279, acc_train: 0.9922, loss_val: 0.0661, acc_val: 0.9930, time: 0.7199s
2024-09-23 02:37:07,030 [test] >> Train results ==> epoch : 0061, loss_train: 0.2372, acc_train: 0.9901, loss_val: 0.0659, acc_val: 0.9930, time: 0.7464s
