2024-09-23 02:36:30,255 [test] >> Dataset : 0922_food_adjusted_mean_only , Augment : original
2024-09-23 02:36:30,256 [test] >> Namespace(batch_size=5000, csv_filename='0922_food_adjusted_mean_only', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, no_cuda=False, oversampling=False, seed=42, undersampling=False, weight_decay=0.01)
2024-09-23 02:36:30,258 [test] >> Oversamplilng : False, Undersampling : False
2024-09-23 02:36:30,258 [test] >> Model archi : 21 - 64 - 64 - 1
2024-09-23 02:36:31,673 [test] >> Train results ==> epoch : 0001, loss_train: 2.7710, acc_train: 0.8091, loss_val: 0.6121, acc_val: 0.9930, time: 1.4148s
2024-09-23 02:36:32,311 [test] >> Train results ==> epoch : 0002, loss_train: 1.9693, acc_train: 0.9342, loss_val: 0.4097, acc_val: 0.9930, time: 0.6377s
2024-09-23 02:36:33,028 [test] >> Train results ==> epoch : 0003, loss_train: 1.5342, acc_train: 0.9851, loss_val: 0.1695, acc_val: 0.9930, time: 0.7175s
2024-09-23 02:36:33,695 [test] >> Train results ==> epoch : 0004, loss_train: 1.2506, acc_train: 0.9929, loss_val: 0.0683, acc_val: 0.9930, time: 0.6660s
2024-09-23 02:36:34,395 [test] >> Train results ==> epoch : 0005, loss_train: 1.0461, acc_train: 0.9901, loss_val: 0.0550, acc_val: 0.9930, time: 0.6997s
2024-09-23 02:36:35,093 [test] >> Train results ==> epoch : 0006, loss_train: 0.8641, acc_train: 0.9929, loss_val: 0.0614, acc_val: 0.9930, time: 0.6986s
2024-09-23 02:36:35,779 [test] >> Train results ==> epoch : 0007, loss_train: 0.7055, acc_train: 0.9950, loss_val: 0.0746, acc_val: 0.9930, time: 0.6850s
2024-09-23 02:36:36,486 [test] >> Train results ==> epoch : 0008, loss_train: 0.5804, acc_train: 0.9908, loss_val: 0.0684, acc_val: 0.9930, time: 0.7070s
2024-09-23 02:36:37,154 [test] >> Train results ==> epoch : 0009, loss_train: 0.4448, acc_train: 0.9943, loss_val: 0.0674, acc_val: 0.9930, time: 0.6680s
2024-09-23 02:36:37,924 [test] >> Train results ==> epoch : 0010, loss_train: 0.3358, acc_train: 0.9915, loss_val: 0.0665, acc_val: 0.9930, time: 0.7696s
2024-09-23 02:36:38,633 [test] >> Train results ==> epoch : 0011, loss_train: 0.2974, acc_train: 0.9943, loss_val: 0.0634, acc_val: 0.9930, time: 0.7082s
2024-09-23 02:36:39,539 [test] >> Train results ==> epoch : 0012, loss_train: 0.2811, acc_train: 0.9922, loss_val: 0.0633, acc_val: 0.9930, time: 0.9062s
2024-09-23 02:36:40,347 [test] >> Train results ==> epoch : 0013, loss_train: 0.2812, acc_train: 0.9887, loss_val: 0.0630, acc_val: 0.9930, time: 0.8080s
2024-09-23 02:36:41,130 [test] >> Train results ==> epoch : 0014, loss_train: 0.2555, acc_train: 0.9943, loss_val: 0.0620, acc_val: 0.9930, time: 0.7821s
2024-09-23 02:36:41,900 [test] >> Train results ==> epoch : 0015, loss_train: 0.2567, acc_train: 0.9929, loss_val: 0.0613, acc_val: 0.9930, time: 0.7698s
2024-09-23 02:36:42,566 [test] >> Train results ==> epoch : 0016, loss_train: 0.2473, acc_train: 0.9958, loss_val: 0.0607, acc_val: 0.9930, time: 0.6654s
2024-09-23 02:36:43,293 [test] >> Train results ==> epoch : 0017, loss_train: 0.2605, acc_train: 0.9901, loss_val: 0.0605, acc_val: 0.9930, time: 0.7273s
2024-09-23 02:36:43,920 [test] >> Train results ==> epoch : 0018, loss_train: 0.2478, acc_train: 0.9936, loss_val: 0.0602, acc_val: 0.9930, time: 0.6269s
2024-09-23 02:36:44,538 [test] >> Train results ==> epoch : 0019, loss_train: 0.2643, acc_train: 0.9887, loss_val: 0.0597, acc_val: 0.9930, time: 0.6176s
2024-09-23 02:36:45,214 [test] >> Train results ==> epoch : 0020, loss_train: 0.2432, acc_train: 0.9936, loss_val: 0.0597, acc_val: 0.9930, time: 0.6761s
2024-09-23 02:36:45,848 [test] >> Train results ==> epoch : 0021, loss_train: 0.2514, acc_train: 0.9922, loss_val: 0.0597, acc_val: 0.9930, time: 0.6331s
2024-09-23 02:36:46,530 [test] >> Train results ==> epoch : 0022, loss_train: 0.2463, acc_train: 0.9901, loss_val: 0.0594, acc_val: 0.9930, time: 0.6816s
2024-09-23 02:36:47,172 [test] >> Train results ==> epoch : 0023, loss_train: 0.2358, acc_train: 0.9936, loss_val: 0.0594, acc_val: 0.9930, time: 0.6421s
2024-09-23 02:36:47,808 [test] >> Train results ==> epoch : 0024, loss_train: 0.2335, acc_train: 0.9936, loss_val: 0.0593, acc_val: 0.9930, time: 0.6359s
2024-09-23 02:36:48,508 [test] >> Train results ==> epoch : 0025, loss_train: 0.2373, acc_train: 0.9943, loss_val: 0.0594, acc_val: 0.9930, time: 0.6999s
2024-09-23 02:36:49,153 [test] >> Train results ==> epoch : 0026, loss_train: 0.2432, acc_train: 0.9922, loss_val: 0.0594, acc_val: 0.9930, time: 0.6442s
2024-09-23 02:36:49,815 [test] >> Train results ==> epoch : 0027, loss_train: 0.2376, acc_train: 0.9936, loss_val: 0.0601, acc_val: 0.9930, time: 0.6625s
2024-09-23 02:36:50,447 [test] >> Train results ==> epoch : 0028, loss_train: 0.2318, acc_train: 0.9936, loss_val: 0.0601, acc_val: 0.9930, time: 0.6316s
2024-09-23 02:36:51,079 [test] >> Train results ==> epoch : 0029, loss_train: 0.2469, acc_train: 0.9901, loss_val: 0.0597, acc_val: 0.9930, time: 0.6316s
2024-09-23 02:36:51,757 [test] >> Train results ==> epoch : 0030, loss_train: 0.2383, acc_train: 0.9922, loss_val: 0.0599, acc_val: 0.9930, time: 0.6773s
2024-09-23 02:36:52,412 [test] >> Train results ==> epoch : 0031, loss_train: 0.2415, acc_train: 0.9915, loss_val: 0.0599, acc_val: 0.9930, time: 0.6551s
2024-09-23 02:36:53,124 [test] >> Train results ==> epoch : 0032, loss_train: 0.2378, acc_train: 0.9922, loss_val: 0.0603, acc_val: 0.9930, time: 0.7119s
2024-09-23 02:36:53,772 [test] >> Train results ==> epoch : 0033, loss_train: 0.2280, acc_train: 0.9943, loss_val: 0.0604, acc_val: 0.9930, time: 0.6473s
2024-09-23 02:36:54,421 [test] >> Train results ==> epoch : 0034, loss_train: 0.2342, acc_train: 0.9922, loss_val: 0.0605, acc_val: 0.9930, time: 0.6495s
2024-09-23 02:36:55,095 [test] >> Train results ==> epoch : 0035, loss_train: 0.2208, acc_train: 0.9979, loss_val: 0.0608, acc_val: 0.9930, time: 0.6737s
2024-09-23 02:36:55,722 [test] >> Train results ==> epoch : 0036, loss_train: 0.2239, acc_train: 0.9958, loss_val: 0.0606, acc_val: 0.9930, time: 0.6260s
2024-09-23 02:36:56,389 [test] >> Train results ==> epoch : 0037, loss_train: 0.2321, acc_train: 0.9936, loss_val: 0.0608, acc_val: 0.9930, time: 0.6668s
2024-09-23 02:36:57,027 [test] >> Train results ==> epoch : 0038, loss_train: 0.2426, acc_train: 0.9908, loss_val: 0.0614, acc_val: 0.9930, time: 0.6379s
2024-09-23 02:36:57,655 [test] >> Train results ==> epoch : 0039, loss_train: 0.2393, acc_train: 0.9901, loss_val: 0.0617, acc_val: 0.9930, time: 0.6284s
2024-09-23 02:36:58,348 [test] >> Train results ==> epoch : 0040, loss_train: 0.2275, acc_train: 0.9943, loss_val: 0.0618, acc_val: 0.9930, time: 0.6923s
2024-09-23 02:36:58,973 [test] >> Train results ==> epoch : 0041, loss_train: 0.2303, acc_train: 0.9943, loss_val: 0.0617, acc_val: 0.9930, time: 0.6247s
2024-09-23 02:36:59,780 [test] >> Train results ==> epoch : 0042, loss_train: 0.2377, acc_train: 0.9915, loss_val: 0.0620, acc_val: 0.9930, time: 0.8063s
2024-09-23 02:37:00,572 [test] >> Train results ==> epoch : 0043, loss_train: 0.2385, acc_train: 0.9908, loss_val: 0.0624, acc_val: 0.9930, time: 0.7919s
2024-09-23 02:37:01,324 [test] >> Train results ==> epoch : 0044, loss_train: 0.2262, acc_train: 0.9936, loss_val: 0.0626, acc_val: 0.9930, time: 0.7517s
2024-09-23 02:37:01,991 [test] >> Train results ==> epoch : 0045, loss_train: 0.2244, acc_train: 0.9950, loss_val: 0.0625, acc_val: 0.9930, time: 0.6672s
2024-09-23 02:37:02,690 [test] >> Train results ==> epoch : 0046, loss_train: 0.2232, acc_train: 0.9958, loss_val: 0.0627, acc_val: 0.9930, time: 0.6983s
2024-09-23 02:37:03,456 [test] >> Train results ==> epoch : 0047, loss_train: 0.2252, acc_train: 0.9943, loss_val: 0.0628, acc_val: 0.9930, time: 0.7663s
2024-09-23 02:37:04,124 [test] >> Train results ==> epoch : 0048, loss_train: 0.2305, acc_train: 0.9936, loss_val: 0.0632, acc_val: 0.9930, time: 0.6679s
2024-09-23 02:37:04,851 [test] >> Train results ==> epoch : 0049, loss_train: 0.2248, acc_train: 0.9943, loss_val: 0.0637, acc_val: 0.9930, time: 0.7267s
2024-09-23 02:37:05,520 [test] >> Train results ==> epoch : 0050, loss_train: 0.2341, acc_train: 0.9922, loss_val: 0.0637, acc_val: 0.9930, time: 0.6684s
2024-09-23 02:37:06,193 [test] >> Train results ==> epoch : 0051, loss_train: 0.2421, acc_train: 0.9887, loss_val: 0.0640, acc_val: 0.9930, time: 0.6723s
