2024-09-23 02:36:56,943 [test] >> Dataset : 0922_food_sum_only , Augment : original
2024-09-23 02:36:56,943 [test] >> Namespace(batch_size=5000, csv_filename='0922_food_sum_only', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, no_cuda=False, oversampling=False, seed=42, undersampling=False, weight_decay=0.01)
2024-09-23 02:36:56,946 [test] >> Oversamplilng : False, Undersampling : False
2024-09-23 02:36:56,946 [test] >> Model archi : 21 - 64 - 64 - 1
2024-09-23 02:36:58,320 [test] >> Train results ==> epoch : 0001, loss_train: 2.7737, acc_train: 0.7871, loss_val: 0.6129, acc_val: 0.9930, time: 1.3742s
2024-09-23 02:36:58,978 [test] >> Train results ==> epoch : 0002, loss_train: 1.9703, acc_train: 0.9243, loss_val: 0.4130, acc_val: 0.9930, time: 0.6575s
2024-09-23 02:36:59,695 [test] >> Train results ==> epoch : 0003, loss_train: 1.5229, acc_train: 0.9809, loss_val: 0.1607, acc_val: 0.9930, time: 0.7172s
2024-09-23 02:37:00,368 [test] >> Train results ==> epoch : 0004, loss_train: 1.2320, acc_train: 0.9915, loss_val: 0.0651, acc_val: 0.9930, time: 0.6721s
2024-09-23 02:37:01,109 [test] >> Train results ==> epoch : 0005, loss_train: 1.1110, acc_train: 0.9908, loss_val: 0.0547, acc_val: 0.9930, time: 0.7409s
2024-09-23 02:37:01,768 [test] >> Train results ==> epoch : 0006, loss_train: 0.9128, acc_train: 0.9922, loss_val: 0.0621, acc_val: 0.9930, time: 0.6591s
2024-09-23 02:37:02,420 [test] >> Train results ==> epoch : 0007, loss_train: 0.7228, acc_train: 0.9950, loss_val: 0.0691, acc_val: 0.9930, time: 0.6517s
2024-09-23 02:37:03,134 [test] >> Train results ==> epoch : 0008, loss_train: 0.5910, acc_train: 0.9908, loss_val: 0.0730, acc_val: 0.9930, time: 0.7133s
2024-09-23 02:37:03,825 [test] >> Train results ==> epoch : 0009, loss_train: 0.4545, acc_train: 0.9943, loss_val: 0.0740, acc_val: 0.9930, time: 0.6908s
2024-09-23 02:37:04,558 [test] >> Train results ==> epoch : 0010, loss_train: 0.3414, acc_train: 0.9915, loss_val: 0.0674, acc_val: 0.9930, time: 0.7327s
2024-09-23 02:37:05,227 [test] >> Train results ==> epoch : 0011, loss_train: 0.3022, acc_train: 0.9943, loss_val: 0.0646, acc_val: 0.9930, time: 0.6695s
2024-09-23 02:37:05,997 [test] >> Train results ==> epoch : 0012, loss_train: 0.2788, acc_train: 0.9922, loss_val: 0.0636, acc_val: 0.9930, time: 0.7691s
2024-09-23 02:37:06,685 [test] >> Train results ==> epoch : 0013, loss_train: 0.2796, acc_train: 0.9887, loss_val: 0.0624, acc_val: 0.9930, time: 0.6881s
2024-09-23 02:37:07,344 [test] >> Train results ==> epoch : 0014, loss_train: 0.2557, acc_train: 0.9943, loss_val: 0.0617, acc_val: 0.9930, time: 0.6588s
2024-09-23 02:37:08,034 [test] >> Train results ==> epoch : 0015, loss_train: 0.2581, acc_train: 0.9929, loss_val: 0.0617, acc_val: 0.9930, time: 0.6898s
2024-09-23 02:37:08,704 [test] >> Train results ==> epoch : 0016, loss_train: 0.2472, acc_train: 0.9958, loss_val: 0.0611, acc_val: 0.9930, time: 0.6701s
2024-09-23 02:37:09,434 [test] >> Train results ==> epoch : 0017, loss_train: 0.2610, acc_train: 0.9901, loss_val: 0.0608, acc_val: 0.9930, time: 0.7294s
2024-09-23 02:37:10,080 [test] >> Train results ==> epoch : 0018, loss_train: 0.2469, acc_train: 0.9936, loss_val: 0.0602, acc_val: 0.9930, time: 0.6463s
2024-09-23 02:37:10,787 [test] >> Train results ==> epoch : 0019, loss_train: 0.2643, acc_train: 0.9887, loss_val: 0.0598, acc_val: 0.9930, time: 0.7064s
2024-09-23 02:37:11,504 [test] >> Train results ==> epoch : 0020, loss_train: 0.2452, acc_train: 0.9936, loss_val: 0.0605, acc_val: 0.9930, time: 0.7166s
2024-09-23 02:37:12,166 [test] >> Train results ==> epoch : 0021, loss_train: 0.2525, acc_train: 0.9922, loss_val: 0.0605, acc_val: 0.9930, time: 0.6618s
2024-09-23 02:37:12,870 [test] >> Train results ==> epoch : 0022, loss_train: 0.2502, acc_train: 0.9901, loss_val: 0.0599, acc_val: 0.9930, time: 0.7039s
