2024-09-23 02:37:25,112 [test] >> Dataset : 0922_food_mean_only , Augment : original
2024-09-23 02:37:25,112 [test] >> Namespace(batch_size=5000, csv_filename='0922_food_mean_only', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, no_cuda=False, oversampling=False, seed=42, undersampling=False, weight_decay=0.01)
2024-09-23 02:37:25,115 [test] >> Oversamplilng : False, Undersampling : False
2024-09-23 02:37:25,115 [test] >> Model archi : 21 - 64 - 64 - 1
2024-09-23 02:37:26,535 [test] >> Train results ==> epoch : 0001, loss_train: 2.7737, acc_train: 0.7871, loss_val: 0.6129, acc_val: 0.9930, time: 1.4197s
2024-09-23 02:37:27,181 [test] >> Train results ==> epoch : 0002, loss_train: 1.9703, acc_train: 0.9243, loss_val: 0.4130, acc_val: 0.9930, time: 0.6458s
2024-09-23 02:37:27,939 [test] >> Train results ==> epoch : 0003, loss_train: 1.5229, acc_train: 0.9809, loss_val: 0.1607, acc_val: 0.9930, time: 0.7579s
2024-09-23 02:37:28,601 [test] >> Train results ==> epoch : 0004, loss_train: 1.2320, acc_train: 0.9915, loss_val: 0.0651, acc_val: 0.9930, time: 0.6610s
2024-09-23 02:37:29,352 [test] >> Train results ==> epoch : 0005, loss_train: 1.1110, acc_train: 0.9908, loss_val: 0.0547, acc_val: 0.9930, time: 0.7516s
2024-09-23 02:37:30,036 [test] >> Train results ==> epoch : 0006, loss_train: 0.9128, acc_train: 0.9922, loss_val: 0.0621, acc_val: 0.9930, time: 0.6829s
2024-09-23 02:37:30,789 [test] >> Train results ==> epoch : 0007, loss_train: 0.7228, acc_train: 0.9950, loss_val: 0.0691, acc_val: 0.9930, time: 0.7533s
2024-09-23 02:37:31,543 [test] >> Train results ==> epoch : 0008, loss_train: 0.5910, acc_train: 0.9908, loss_val: 0.0730, acc_val: 0.9930, time: 0.7534s
2024-09-23 02:37:32,360 [test] >> Train results ==> epoch : 0009, loss_train: 0.4545, acc_train: 0.9943, loss_val: 0.0740, acc_val: 0.9930, time: 0.8165s
2024-09-23 02:37:33,206 [test] >> Train results ==> epoch : 0010, loss_train: 0.3414, acc_train: 0.9915, loss_val: 0.0674, acc_val: 0.9930, time: 0.8458s
2024-09-23 02:37:33,958 [test] >> Train results ==> epoch : 0011, loss_train: 0.3022, acc_train: 0.9943, loss_val: 0.0646, acc_val: 0.9930, time: 0.7524s
2024-09-23 02:37:34,773 [test] >> Train results ==> epoch : 0012, loss_train: 0.2788, acc_train: 0.9922, loss_val: 0.0636, acc_val: 0.9930, time: 0.8147s
2024-09-23 02:37:35,470 [test] >> Train results ==> epoch : 0013, loss_train: 0.2796, acc_train: 0.9887, loss_val: 0.0624, acc_val: 0.9930, time: 0.6962s
2024-09-23 02:37:36,174 [test] >> Train results ==> epoch : 0014, loss_train: 0.2557, acc_train: 0.9943, loss_val: 0.0617, acc_val: 0.9930, time: 0.7043s
2024-09-23 02:37:36,906 [test] >> Train results ==> epoch : 0015, loss_train: 0.2581, acc_train: 0.9929, loss_val: 0.0617, acc_val: 0.9930, time: 0.7316s
2024-09-23 02:37:37,649 [test] >> Train results ==> epoch : 0016, loss_train: 0.2472, acc_train: 0.9958, loss_val: 0.0611, acc_val: 0.9930, time: 0.7426s
2024-09-23 02:37:38,426 [test] >> Train results ==> epoch : 0017, loss_train: 0.2610, acc_train: 0.9901, loss_val: 0.0608, acc_val: 0.9930, time: 0.7765s
2024-09-23 02:37:39,134 [test] >> Train results ==> epoch : 0018, loss_train: 0.2469, acc_train: 0.9936, loss_val: 0.0602, acc_val: 0.9930, time: 0.7076s
2024-09-23 02:37:39,817 [test] >> Train results ==> epoch : 0019, loss_train: 0.2643, acc_train: 0.9887, loss_val: 0.0598, acc_val: 0.9930, time: 0.6835s
2024-09-23 02:37:40,589 [test] >> Train results ==> epoch : 0020, loss_train: 0.2452, acc_train: 0.9936, loss_val: 0.0605, acc_val: 0.9930, time: 0.7713s
2024-09-23 02:37:41,259 [test] >> Train results ==> epoch : 0021, loss_train: 0.2525, acc_train: 0.9922, loss_val: 0.0605, acc_val: 0.9930, time: 0.6694s
2024-09-23 02:37:41,995 [test] >> Train results ==> epoch : 0022, loss_train: 0.2502, acc_train: 0.9901, loss_val: 0.0599, acc_val: 0.9930, time: 0.7366s
2024-09-23 02:37:42,679 [test] >> Train results ==> epoch : 0023, loss_train: 0.2390, acc_train: 0.9936, loss_val: 0.0603, acc_val: 0.9930, time: 0.6833s
2024-09-23 02:37:43,405 [test] >> Train results ==> epoch : 0024, loss_train: 0.2371, acc_train: 0.9936, loss_val: 0.0602, acc_val: 0.9930, time: 0.7264s
2024-09-23 02:37:44,174 [test] >> Train results ==> epoch : 0025, loss_train: 0.2395, acc_train: 0.9943, loss_val: 0.0601, acc_val: 0.9930, time: 0.7685s
2024-09-23 02:37:44,874 [test] >> Train results ==> epoch : 0026, loss_train: 0.2444, acc_train: 0.9922, loss_val: 0.0598, acc_val: 0.9930, time: 0.6995s
2024-09-23 02:37:45,645 [test] >> Train results ==> epoch : 0027, loss_train: 0.2378, acc_train: 0.9936, loss_val: 0.0604, acc_val: 0.9930, time: 0.7710s
2024-09-23 02:37:46,305 [test] >> Train results ==> epoch : 0028, loss_train: 0.2324, acc_train: 0.9936, loss_val: 0.0605, acc_val: 0.9930, time: 0.6596s
2024-09-23 02:37:46,978 [test] >> Train results ==> epoch : 0029, loss_train: 0.2494, acc_train: 0.9901, loss_val: 0.0603, acc_val: 0.9930, time: 0.6724s
2024-09-23 02:37:47,771 [test] >> Train results ==> epoch : 0030, loss_train: 0.2385, acc_train: 0.9922, loss_val: 0.0604, acc_val: 0.9930, time: 0.7932s
2024-09-23 02:37:48,458 [test] >> Train results ==> epoch : 0031, loss_train: 0.2403, acc_train: 0.9915, loss_val: 0.0598, acc_val: 0.9930, time: 0.6863s
2024-09-23 02:37:49,206 [test] >> Train results ==> epoch : 0032, loss_train: 0.2362, acc_train: 0.9922, loss_val: 0.0602, acc_val: 0.9930, time: 0.7481s
2024-09-23 02:37:49,866 [test] >> Train results ==> epoch : 0033, loss_train: 0.2281, acc_train: 0.9943, loss_val: 0.0604, acc_val: 0.9930, time: 0.6596s
2024-09-23 02:37:50,542 [test] >> Train results ==> epoch : 0034, loss_train: 0.2342, acc_train: 0.9922, loss_val: 0.0607, acc_val: 0.9930, time: 0.6755s
2024-09-23 02:37:51,289 [test] >> Train results ==> epoch : 0035, loss_train: 0.2199, acc_train: 0.9979, loss_val: 0.0608, acc_val: 0.9930, time: 0.7471s
2024-09-23 02:37:51,980 [test] >> Train results ==> epoch : 0036, loss_train: 0.2237, acc_train: 0.9958, loss_val: 0.0605, acc_val: 0.9930, time: 0.6906s
2024-09-23 02:37:52,724 [test] >> Train results ==> epoch : 0037, loss_train: 0.2304, acc_train: 0.9936, loss_val: 0.0609, acc_val: 0.9930, time: 0.7442s
2024-09-23 02:37:53,390 [test] >> Train results ==> epoch : 0038, loss_train: 0.2427, acc_train: 0.9908, loss_val: 0.0614, acc_val: 0.9930, time: 0.6654s
2024-09-23 02:37:54,053 [test] >> Train results ==> epoch : 0039, loss_train: 0.2384, acc_train: 0.9901, loss_val: 0.0618, acc_val: 0.9930, time: 0.6628s
2024-09-23 02:37:54,814 [test] >> Train results ==> epoch : 0040, loss_train: 0.2269, acc_train: 0.9943, loss_val: 0.0618, acc_val: 0.9930, time: 0.7604s
2024-09-23 02:37:55,520 [test] >> Train results ==> epoch : 0041, loss_train: 0.2305, acc_train: 0.9943, loss_val: 0.0617, acc_val: 0.9930, time: 0.7057s
2024-09-23 02:37:56,297 [test] >> Train results ==> epoch : 0042, loss_train: 0.2374, acc_train: 0.9915, loss_val: 0.0620, acc_val: 0.9930, time: 0.7773s
2024-09-23 02:37:56,996 [test] >> Train results ==> epoch : 0043, loss_train: 0.2384, acc_train: 0.9908, loss_val: 0.0625, acc_val: 0.9930, time: 0.6987s
2024-09-23 02:37:57,775 [test] >> Train results ==> epoch : 0044, loss_train: 0.2262, acc_train: 0.9936, loss_val: 0.0626, acc_val: 0.9930, time: 0.7790s
2024-09-23 02:37:58,534 [test] >> Train results ==> epoch : 0045, loss_train: 0.2252, acc_train: 0.9950, loss_val: 0.0625, acc_val: 0.9930, time: 0.7581s
2024-09-23 02:37:59,232 [test] >> Train results ==> epoch : 0046, loss_train: 0.2228, acc_train: 0.9958, loss_val: 0.0627, acc_val: 0.9930, time: 0.6986s
2024-09-23 02:37:59,938 [test] >> Train results ==> epoch : 0047, loss_train: 0.2253, acc_train: 0.9943, loss_val: 0.0628, acc_val: 0.9930, time: 0.7056s
2024-09-23 02:38:00,647 [test] >> Train results ==> epoch : 0048, loss_train: 0.2293, acc_train: 0.9936, loss_val: 0.0633, acc_val: 0.9930, time: 0.7083s
2024-09-23 02:38:01,418 [test] >> Train results ==> epoch : 0049, loss_train: 0.2256, acc_train: 0.9943, loss_val: 0.0637, acc_val: 0.9930, time: 0.7708s
2024-09-23 02:38:02,195 [test] >> Train results ==> epoch : 0050, loss_train: 0.2335, acc_train: 0.9922, loss_val: 0.0636, acc_val: 0.9930, time: 0.7763s
2024-09-23 02:38:02,843 [test] >> Train results ==> epoch : 0051, loss_train: 0.2411, acc_train: 0.9887, loss_val: 0.0641, acc_val: 0.9930, time: 0.6477s
2024-09-23 02:38:03,576 [test] >> Train results ==> epoch : 0052, loss_train: 0.2258, acc_train: 0.9929, loss_val: 0.0648, acc_val: 0.9930, time: 0.7328s
2024-09-23 02:38:04,255 [test] >> Train results ==> epoch : 0053, loss_train: 0.2142, acc_train: 0.9972, loss_val: 0.0644, acc_val: 0.9930, time: 0.6792s
2024-09-23 02:38:05,033 [test] >> Train results ==> epoch : 0054, loss_train: 0.2332, acc_train: 0.9908, loss_val: 0.0639, acc_val: 0.9930, time: 0.7781s
2024-09-23 02:38:05,699 [test] >> Train results ==> epoch : 0055, loss_train: 0.2356, acc_train: 0.9908, loss_val: 0.0650, acc_val: 0.9930, time: 0.6658s
2024-09-23 02:38:06,405 [test] >> Train results ==> epoch : 0056, loss_train: 0.2304, acc_train: 0.9922, loss_val: 0.0661, acc_val: 0.9930, time: 0.7050s
2024-09-23 02:38:07,133 [test] >> Train results ==> epoch : 0057, loss_train: 0.2354, acc_train: 0.9901, loss_val: 0.0654, acc_val: 0.9930, time: 0.7280s
2024-09-23 02:38:07,801 [test] >> Train results ==> epoch : 0058, loss_train: 0.2310, acc_train: 0.9915, loss_val: 0.0654, acc_val: 0.9930, time: 0.6682s
2024-09-23 02:38:08,544 [test] >> Train results ==> epoch : 0059, loss_train: 0.2326, acc_train: 0.9901, loss_val: 0.0662, acc_val: 0.9930, time: 0.7422s
2024-09-23 02:38:09,219 [test] >> Train results ==> epoch : 0060, loss_train: 0.2280, acc_train: 0.9922, loss_val: 0.0660, acc_val: 0.9930, time: 0.6749s
2024-09-23 02:38:09,918 [test] >> Train results ==> epoch : 0061, loss_train: 0.2374, acc_train: 0.9901, loss_val: 0.0659, acc_val: 0.9930, time: 0.6992s
2024-09-23 02:38:10,646 [test] >> Train results ==> epoch : 0062, loss_train: 0.2425, acc_train: 0.9873, loss_val: 0.0665, acc_val: 0.9930, time: 0.7276s
2024-09-23 02:38:11,310 [test] >> Train results ==> epoch : 0063, loss_train: 0.2272, acc_train: 0.9915, loss_val: 0.0673, acc_val: 0.9930, time: 0.6633s
2024-09-23 02:38:12,083 [test] >> Train results ==> epoch : 0064, loss_train: 0.2122, acc_train: 0.9965, loss_val: 0.0668, acc_val: 0.9930, time: 0.7727s
2024-09-23 02:38:12,795 [test] >> Train results ==> epoch : 0065, loss_train: 0.2329, acc_train: 0.9901, loss_val: 0.0659, acc_val: 0.9930, time: 0.7123s
2024-09-23 02:38:13,522 [test] >> Train results ==> epoch : 0066, loss_train: 0.2302, acc_train: 0.9908, loss_val: 0.0668, acc_val: 0.9930, time: 0.7268s
2024-09-23 02:38:14,296 [test] >> Train results ==> epoch : 0067, loss_train: 0.2392, acc_train: 0.9873, loss_val: 0.0679, acc_val: 0.9930, time: 0.7728s
2024-09-23 02:38:14,994 [test] >> Train results ==> epoch : 0068, loss_train: 0.2188, acc_train: 0.9936, loss_val: 0.0684, acc_val: 0.9930, time: 0.6978s
2024-09-23 02:38:15,749 [test] >> Train results ==> epoch : 0069, loss_train: 0.2100, acc_train: 0.9958, loss_val: 0.0676, acc_val: 0.9930, time: 0.7551s
2024-09-23 02:38:16,471 [test] >> Train results ==> epoch : 0070, loss_train: 0.2230, acc_train: 0.9901, loss_val: 0.0662, acc_val: 0.9930, time: 0.7218s
2024-09-23 02:38:17,154 [test] >> Train results ==> epoch : 0071, loss_train: 0.2130, acc_train: 0.9943, loss_val: 0.0666, acc_val: 0.9930, time: 0.6824s
2024-09-23 02:38:17,898 [test] >> Train results ==> epoch : 0072, loss_train: 0.2154, acc_train: 0.9922, loss_val: 0.0671, acc_val: 0.9930, time: 0.7437s
2024-09-23 02:38:18,604 [test] >> Train results ==> epoch : 0073, loss_train: 0.2138, acc_train: 0.9922, loss_val: 0.0663, acc_val: 0.9930, time: 0.7056s
2024-09-23 02:38:19,351 [test] >> Train results ==> epoch : 0074, loss_train: 0.2062, acc_train: 0.9936, loss_val: 0.0657, acc_val: 0.9930, time: 0.7471s
2024-09-23 02:38:20,089 [test] >> Train results ==> epoch : 0075, loss_train: 0.1992, acc_train: 0.9958, loss_val: 0.0656, acc_val: 0.9930, time: 0.7380s
2024-09-23 02:38:20,885 [test] >> Train results ==> epoch : 0076, loss_train: 0.2174, acc_train: 0.9894, loss_val: 0.0659, acc_val: 0.9930, time: 0.7957s
2024-09-23 02:38:21,572 [test] >> Train results ==> epoch : 0077, loss_train: 0.2114, acc_train: 0.9922, loss_val: 0.0665, acc_val: 0.9930, time: 0.6869s
2024-09-23 02:38:22,247 [test] >> Train results ==> epoch : 0078, loss_train: 0.2054, acc_train: 0.9929, loss_val: 0.0666, acc_val: 0.9930, time: 0.6748s
2024-09-23 02:38:23,000 [test] >> Train results ==> epoch : 0079, loss_train: 0.2024, acc_train: 0.9936, loss_val: 0.0670, acc_val: 0.9930, time: 0.7528s
2024-09-23 02:38:23,677 [test] >> Train results ==> epoch : 0080, loss_train: 0.2117, acc_train: 0.9908, loss_val: 0.0670, acc_val: 0.9930, time: 0.6762s
2024-09-23 02:38:24,407 [test] >> Train results ==> epoch : 0081, loss_train: 0.2178, acc_train: 0.9894, loss_val: 0.0672, acc_val: 0.9930, time: 0.7297s
2024-09-23 02:38:25,058 [test] >> Train results ==> epoch : 0082, loss_train: 0.2217, acc_train: 0.9880, loss_val: 0.0672, acc_val: 0.9930, time: 0.6515s
2024-09-23 02:38:25,738 [test] >> Train results ==> epoch : 0083, loss_train: 0.2013, acc_train: 0.9936, loss_val: 0.0672, acc_val: 0.9930, time: 0.6795s
2024-09-23 02:38:26,504 [test] >> Train results ==> epoch : 0084, loss_train: 0.2045, acc_train: 0.9915, loss_val: 0.0660, acc_val: 0.9930, time: 0.7658s
2024-09-23 02:38:27,191 [test] >> Train results ==> epoch : 0085, loss_train: 0.1978, acc_train: 0.9943, loss_val: 0.0664, acc_val: 0.9930, time: 0.6866s
2024-09-23 02:38:27,903 [test] >> Train results ==> epoch : 0086, loss_train: 0.2010, acc_train: 0.9929, loss_val: 0.0667, acc_val: 0.9930, time: 0.7113s
2024-09-23 02:38:28,633 [test] >> Train results ==> epoch : 0087, loss_train: 0.2001, acc_train: 0.9922, loss_val: 0.0672, acc_val: 0.9930, time: 0.7304s
2024-09-23 02:38:29,353 [test] >> Train results ==> epoch : 0088, loss_train: 0.1846, acc_train: 0.9979, loss_val: 0.0669, acc_val: 0.9930, time: 0.7195s
2024-09-23 02:38:30,136 [test] >> Train results ==> epoch : 0089, loss_train: 0.2140, acc_train: 0.9887, loss_val: 0.0669, acc_val: 0.9930, time: 0.7830s
2024-09-23 02:38:30,853 [test] >> Train results ==> epoch : 0090, loss_train: 0.1982, acc_train: 0.9929, loss_val: 0.0678, acc_val: 0.9930, time: 0.7163s
2024-09-23 02:38:31,773 [test] >> Train results ==> epoch : 0091, loss_train: 0.1914, acc_train: 0.9950, loss_val: 0.0681, acc_val: 0.9930, time: 0.9193s
2024-09-23 02:38:32,578 [test] >> Train results ==> epoch : 0092, loss_train: 0.1953, acc_train: 0.9936, loss_val: 0.0675, acc_val: 0.9930, time: 0.8046s
2024-09-23 02:38:33,321 [test] >> Train results ==> epoch : 0093, loss_train: 0.1980, acc_train: 0.9929, loss_val: 0.0680, acc_val: 0.9930, time: 0.7429s
