2024-09-23 03:06:18,862 [test] >> Dataset : 0922_basic_food_mean , Augment : original
2024-09-23 03:06:18,863 [test] >> Namespace(batch_size=5000, csv_filename='0922_basic_food_mean', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, no_cuda=False, oversampling=False, seed=42, undersampling=False, weight_decay=0.01)
2024-09-23 03:06:18,864 [test] >> Oversamplilng : False, Undersampling : False
2024-09-23 03:06:18,864 [test] >> Model archi : 36 - 8 - 4 - 1
2024-09-23 03:06:20,462 [test] >> Train results ==> epoch : 0001, loss_train: 0.8403, acc_train: 0.8706, loss_val: 0.5992, acc_val: 0.9930, time: 1.5978s
2024-09-23 03:06:21,204 [test] >> Train results ==> epoch : 0002, loss_train: 0.6955, acc_train: 0.9738, loss_val: 0.4977, acc_val: 0.9930, time: 0.7414s
2024-09-23 03:06:21,995 [test] >> Train results ==> epoch : 0003, loss_train: 0.5545, acc_train: 0.9922, loss_val: 0.3939, acc_val: 0.9930, time: 0.7911s
2024-09-23 03:06:22,738 [test] >> Train results ==> epoch : 0004, loss_train: 0.4477, acc_train: 0.9894, loss_val: 0.2938, acc_val: 0.9930, time: 0.7422s
2024-09-23 03:06:23,498 [test] >> Train results ==> epoch : 0005, loss_train: 0.3558, acc_train: 0.9922, loss_val: 0.2037, acc_val: 0.9930, time: 0.7598s
2024-09-23 03:06:24,225 [test] >> Train results ==> epoch : 0006, loss_train: 0.3023, acc_train: 0.9922, loss_val: 0.1412, acc_val: 0.9930, time: 0.7263s
2024-09-23 03:06:24,924 [test] >> Train results ==> epoch : 0007, loss_train: 0.2663, acc_train: 0.9880, loss_val: 0.0993, acc_val: 0.9930, time: 0.6993s
2024-09-23 03:06:25,584 [test] >> Train results ==> epoch : 0008, loss_train: 0.2337, acc_train: 0.9908, loss_val: 0.0875, acc_val: 0.9930, time: 0.6597s
2024-09-23 03:06:26,278 [test] >> Train results ==> epoch : 0009, loss_train: 0.2341, acc_train: 0.9830, loss_val: 0.0810, acc_val: 0.9930, time: 0.6934s
2024-09-23 03:06:26,996 [test] >> Train results ==> epoch : 0010, loss_train: 0.1912, acc_train: 0.9929, loss_val: 0.0654, acc_val: 0.9930, time: 0.7181s
2024-09-23 03:06:27,678 [test] >> Train results ==> epoch : 0011, loss_train: 0.1834, acc_train: 0.9922, loss_val: 0.0462, acc_val: 0.9930, time: 0.6811s
2024-09-23 03:06:28,375 [test] >> Train results ==> epoch : 0012, loss_train: 0.1875, acc_train: 0.9901, loss_val: 0.0596, acc_val: 0.9930, time: 0.6968s
2024-09-23 03:06:28,985 [test] >> Train results ==> epoch : 0013, loss_train: 0.1877, acc_train: 0.9908, loss_val: 0.0640, acc_val: 0.9930, time: 0.6107s
2024-09-23 03:06:29,600 [test] >> Train results ==> epoch : 0014, loss_train: 0.1676, acc_train: 0.9929, loss_val: 0.0595, acc_val: 0.9930, time: 0.6143s
2024-09-23 03:06:30,294 [test] >> Train results ==> epoch : 0015, loss_train: 0.1710, acc_train: 0.9922, loss_val: 0.0580, acc_val: 0.9930, time: 0.6939s
