2024-09-29 12:29:21,373 [test] >> dataset 크기 : (1050, 21), (1050,)
2024-09-29 12:29:23,458 [test] >> Dataset : 0922_food_adjusted_mean_only , Augment : undersampling
2024-09-29 12:29:23,458 [test] >> Namespace(batch_size=5000, csv_filename='0922_food_adjusted_mean_only', cuda=True, devices=[0], dropout=0.5, epochs=200, focal=False, focal_weight=1.5, l1_lambda=0.01, lr=0.01, n_splits=10, no_cuda=False, oversampling=False, seed=63, undersampling=True, weight_decay=0.01)
2024-09-29 12:29:23,458 [test] >> Oversamplilng : False, Undersampling : True
2024-09-29 12:29:23,458 [test] >> Training with hidden layers 64 and 16
2024-09-29 12:29:23,459 [test] >> Fold 1
2024-09-29 12:29:23,462 [test] >> Train : torch.Size([945, 21]), Test : torch.Size([105, 21])
2024-09-29 12:29:24,102 [test] >> Train results ==> epoch : 0001, loss_train: 3.7281, acc_train: 0.5111, loss_val: 0.6776, acc_val: 0.6000, time: 0.6379s
2024-09-29 12:29:24,119 [test] >> Train results ==> epoch : 0002, loss_train: 3.5064, acc_train: 0.4984, loss_val: 0.6783, acc_val: 0.6000, time: 0.0165s
2024-09-29 12:29:24,133 [test] >> Train results ==> epoch : 0003, loss_train: 3.2858, acc_train: 0.5111, loss_val: 0.6788, acc_val: 0.6000, time: 0.0133s
2024-09-29 12:29:24,146 [test] >> Train results ==> epoch : 0004, loss_train: 3.0880, acc_train: 0.5005, loss_val: 0.6795, acc_val: 0.6000, time: 0.0133s
2024-09-29 12:29:24,159 [test] >> Train results ==> epoch : 0005, loss_train: 2.8945, acc_train: 0.5048, loss_val: 0.6802, acc_val: 0.6000, time: 0.0133s
2024-09-29 12:29:24,173 [test] >> Train results ==> epoch : 0006, loss_train: 2.7300, acc_train: 0.5259, loss_val: 0.6810, acc_val: 0.6000, time: 0.0133s
2024-09-29 12:29:24,186 [test] >> Train results ==> epoch : 0007, loss_train: 2.5693, acc_train: 0.5418, loss_val: 0.6817, acc_val: 0.6000, time: 0.0132s
2024-09-29 12:29:24,200 [test] >> Train results ==> epoch : 0008, loss_train: 2.4353, acc_train: 0.5312, loss_val: 0.6825, acc_val: 0.6000, time: 0.0133s
2024-09-29 12:29:24,213 [test] >> Train results ==> epoch : 0009, loss_train: 2.3115, acc_train: 0.5090, loss_val: 0.6832, acc_val: 0.6000, time: 0.0132s
2024-09-29 12:29:24,226 [test] >> Train results ==> epoch : 0010, loss_train: 2.1855, acc_train: 0.5376, loss_val: 0.6840, acc_val: 0.6000, time: 0.0132s
2024-09-29 12:29:24,240 [test] >> Train results ==> epoch : 0011, loss_train: 2.0895, acc_train: 0.5143, loss_val: 0.6846, acc_val: 0.6000, time: 0.0133s
2024-09-29 12:29:24,253 [test] >> Train results ==> epoch : 0012, loss_train: 2.0133, acc_train: 0.5206, loss_val: 0.6852, acc_val: 0.6000, time: 0.0137s
2024-09-29 12:29:24,267 [test] >> Train results ==> epoch : 0013, loss_train: 1.9356, acc_train: 0.5365, loss_val: 0.6859, acc_val: 0.6000, time: 0.0137s
2024-09-29 12:29:24,281 [test] >> Train results ==> epoch : 0014, loss_train: 1.8800, acc_train: 0.5376, loss_val: 0.6867, acc_val: 0.6000, time: 0.0133s
2024-09-29 12:29:24,294 [test] >> Train results ==> epoch : 0015, loss_train: 1.8264, acc_train: 0.5439, loss_val: 0.6875, acc_val: 0.6000, time: 0.0135s
2024-09-29 12:29:24,308 [test] >> Train results ==> epoch : 0016, loss_train: 1.7802, acc_train: 0.5460, loss_val: 0.6883, acc_val: 0.6000, time: 0.0135s
2024-09-29 12:29:24,324 [test] >> Train results ==> epoch : 0017, loss_train: 1.7405, acc_train: 0.5238, loss_val: 0.6891, acc_val: 0.6000, time: 0.0157s
2024-09-29 12:29:24,343 [test] >> Train results ==> epoch : 0018, loss_train: 1.6959, acc_train: 0.5312, loss_val: 0.6900, acc_val: 0.6000, time: 0.0188s
2024-09-29 12:29:24,355 [test] >> Train results ==> epoch : 0019, loss_train: 1.6620, acc_train: 0.5291, loss_val: 0.6907, acc_val: 0.6000, time: 0.0125s
